"Year","Month","DeathRate","ZipCode"
2020,3,39.3,"Bronx"
2020,3,31.1,"Brooklyn"
2020,3,22,"Manhattan"
2020,3,35.6,"Queens"
2020,3,25.8,"Staten_Island"
2020,3,31.6,"Citywide"
2020,3,NA,"10001"
2020,3,30.5,"10002"
2020,3,9.3,"10003"
2020,3,NA,"10006"
2020,3,NA,"10007"
2020,3,17.5,"10009"
2020,3,NA,"10010"
2020,3,18.1,"10011"
2020,3,NA,"10012"
2020,3,NA,"10013"
2020,3,16.5,"10014"
2020,3,19.6,"10016"
2020,3,NA,"10017"
2020,3,NA,"10018"
2020,3,NA,"10019"
2020,3,24,"10021"
2020,3,NA,"10022"
2020,3,19.4,"10023"
2020,3,20.5,"10024"
2020,3,24,"10025"
2020,3,12.9,"10026"
2020,3,26.8,"10027"
2020,3,NA,"10028"
2020,3,30.7,"10029"
2020,3,47.8,"10030"
2020,3,22,"10031"
2020,3,41.2,"10032"
2020,3,25.6,"10033"
2020,3,18.9,"10034"
2020,3,56.8,"10035"
2020,3,22,"10036"
2020,3,38.5,"10037"
2020,3,NA,"10038"
2020,3,18.4,"10039"
2020,3,40.9,"10040"
2020,3,77.1,"10044"
2020,3,NA,"10065"
2020,3,NA,"10069"
2020,3,52.1,"10075"
2020,3,NA,"10128"
2020,3,25.7,"10301"
2020,3,27,"10302"
2020,3,NA,"10303"
2020,3,54.9,"10304"
2020,3,NA,"10305"
2020,3,32.2,"10306"
2020,3,NA,"10307"
2020,3,NA,"10308"
2020,3,24.3,"10309"
2020,3,34.1,"10310"
2020,3,27.8,"10312"
2020,3,24.9,"10314"
2020,3,38,"10451"
2020,3,23.9,"10452"
2020,3,39.4,"10453"
2020,3,29.1,"10454"
2020,3,16.7,"10455"
2020,3,36.5,"10456"
2020,3,36.6,"10457"
2020,3,13.3,"10458"
2020,3,37.6,"10459"
2020,3,25.5,"10460"
2020,3,38.7,"10461"
2020,3,37.2,"10462"
2020,3,42.9,"10463"
2020,3,NA,"10464"
2020,3,25.5,"10465"
2020,3,50.5,"10466"
2020,3,53.9,"10467"
2020,3,30.8,"10468"
2020,3,79.9,"10469"
2020,3,NA,"10470"
2020,3,42.4,"10471"
2020,3,41.2,"10472"
2020,3,37.2,"10473"
2020,3,NA,"10474"
2020,3,84.2,"10475"
2020,3,26.4,"11004"
2020,3,24.4,"11101"
2020,3,49.9,"11102"
2020,3,20,"11103"
2020,3,39.3,"11104"
2020,3,13.8,"11105"
2020,3,16,"11106"
2020,3,19.3,"11201"
2020,3,68.2,"11203"
2020,3,29.8,"11204"
2020,3,NA,"11205"
2020,3,24.2,"11206"
2020,3,37.1,"11207"
2020,3,28.3,"11208"
2020,3,20.7,"11209"
2020,3,39.6,"11210"
2020,3,25.6,"11211"
2020,3,64.9,"11212"
2020,3,32.5,"11213"
2020,3,10.8,"11214"
2020,3,7.2,"11215"
2020,3,21.9,"11216"
2020,3,26.9,"11217"
2020,3,29.7,"11218"
2020,3,24.4,"11219"
2020,3,16.9,"11220"
2020,3,14.7,"11221"
2020,3,NA,"11222"
2020,3,20.9,"11223"
2020,3,23.8,"11224"
2020,3,48.7,"11225"
2020,3,58.5,"11226"
2020,3,24.5,"11228"
2020,3,29.9,"11229"
2020,3,34.9,"11230"
2020,3,18.7,"11231"
2020,3,NA,"11232"
2020,3,39,"11233"
2020,3,37.2,"11234"
2020,3,34.5,"11235"
2020,3,56.6,"11236"
2020,3,35.4,"11237"
2020,3,14.9,"11238"
2020,3,84.5,"11239"
2020,3,40.8,"11354"
2020,3,17.8,"11355"
2020,3,NA,"11356"
2020,3,NA,"11357"
2020,3,19.4,"11358"
2020,3,NA,"11360"
2020,3,19,"11361"
2020,3,NA,"11362"
2020,3,NA,"11364"
2020,3,25.1,"11365"
2020,3,42.2,"11366"
2020,3,19.7,"11367"
2020,3,68.9,"11368"
2020,3,83.3,"11369"
2020,3,28.3,"11370"
2020,3,82.4,"11372"
2020,3,44.7,"11373"
2020,3,24.2,"11374"
2020,3,25.3,"11375"
2020,3,46.4,"11377"
2020,3,24.9,"11378"
2020,3,30,"11379"
2020,3,24.1,"11385"
2020,3,32.7,"11411"
2020,3,31.5,"11412"
2020,3,39.3,"11413"
2020,3,49.4,"11414"
2020,3,26.5,"11415"
2020,3,26.5,"11416"
2020,3,22.6,"11417"
2020,3,34.6,"11418"
2020,3,28.9,"11419"
2020,3,29.3,"11420"
2020,3,32.5,"11421"
2020,3,40.1,"11422"
2020,3,48.2,"11423"
2020,3,NA,"11426"
2020,3,29.7,"11427"
2020,3,26.9,"11428"
2020,3,21.6,"11429"
2020,3,54.3,"11432"
2020,3,30.1,"11433"
2020,3,44.9,"11434"
2020,3,30.8,"11435"
2020,3,29.9,"11436"
2020,3,67.3,"11691"
2020,3,52.3,"11692"
2020,3,55.2,"11693"
2020,3,24.1,"11694"
