"Year","Month","HospRate","ZipCode"
2020,3,267.2,"Bronx"
2020,3,206.8,"Brooklyn"
2020,3,166.6,"Manhattan"
2020,3,265.9,"Queens"
2020,3,156.9,"Staten_Island"
2020,3,222.3,"Citywide"
2020,3,54.3,"10001"
2020,3,224.4,"10002"
2020,3,83.4,"10003"
2020,3,168.2,"10004"
2020,3,91.4,"10005"
2020,3,NA,"10006"
2020,3,NA,"10007"
2020,3,169.7,"10009"
2020,3,89.9,"10010"
2020,3,118.6,"10011"
2020,3,69.1,"10012"
2020,3,90.2,"10013"
2020,3,115.4,"10014"
2020,3,121.8,"10016"
2020,3,83.3,"10017"
2020,3,59.4,"10018"
2020,3,149.3,"10019"
2020,3,102.5,"10021"
2020,3,123,"10022"
2020,3,105.2,"10023"
2020,3,107.9,"10024"
2020,3,127.7,"10025"
2020,3,204.3,"10026"
2020,3,209.8,"10027"
2020,3,111.9,"10028"
2020,3,225,"10029"
2020,3,276.7,"10030"
2020,3,223.6,"10031"
2020,3,296.6,"10032"
2020,3,252.9,"10033"
2020,3,168.1,"10034"
2020,3,368.9,"10035"
2020,3,110.1,"10036"
2020,3,235.7,"10037"
2020,3,105,"10038"
2020,3,217.1,"10039"
2020,3,259.3,"10040"
2020,3,119.9,"10044"
2020,3,75.3,"10065"
2020,3,NA,"10069"
2020,3,195.3,"10075"
2020,3,66.6,"10128"
2020,3,53.5,"10280"
2020,3,NA,"10282"
2020,3,187.6,"10301"
2020,3,211,"10302"
2020,3,181,"10303"
2020,3,245.9,"10304"
2020,3,137.7,"10305"
2020,3,147.7,"10306"
2020,3,100.6,"10307"
2020,3,124.1,"10308"
2020,3,124.5,"10309"
2020,3,149.3,"10310"
2020,3,117.9,"10312"
2020,3,142.7,"10314"
2020,3,276.6,"10451"
2020,3,260.6,"10452"
2020,3,284.7,"10453"
2020,3,335.7,"10454"
2020,3,267.3,"10455"
2020,3,256.5,"10456"
2020,3,210.3,"10457"
2020,3,197,"10458"
2020,3,263.2,"10459"
2020,3,210.6,"10460"
2020,3,248.5,"10461"
2020,3,232.4,"10462"
2020,3,194.3,"10463"
2020,3,233.4,"10464"
2020,3,164.6,"10465"
2020,3,315.5,"10466"
2020,3,326.3,"10467"
2020,3,245.5,"10468"
2020,3,311.2,"10469"
2020,3,246.8,"10470"
2020,3,202.4,"10471"
2020,3,275.1,"10472"
2020,3,291,"10473"
2020,3,233.8,"10474"
2020,3,376.7,"10475"
2020,3,153,"11004"
2020,3,184.6,"11101"
2020,3,183.1,"11102"
2020,3,108.8,"11103"
2020,3,208.4,"11104"
2020,3,77.4,"11105"
2020,3,117.6,"11106"
2020,3,NA,"11109"
2020,3,117.2,"11201"
2020,3,353.3,"11203"
2020,3,184.2,"11204"
2020,3,116.9,"11205"
2020,3,189.1,"11206"
2020,3,220.1,"11207"
2020,3,254.3,"11208"
2020,3,128.9,"11209"
2020,3,242.1,"11210"
2020,3,221.3,"11211"
2020,3,306.9,"11212"
2020,3,304.9,"11213"
2020,3,126.1,"11214"
2020,3,91.9,"11215"
2020,3,145.9,"11216"
2020,3,159,"11217"
2020,3,214.9,"11218"
2020,3,224.2,"11219"
2020,3,181.8,"11220"
2020,3,162.1,"11221"
2020,3,72,"11222"
2020,3,176.7,"11223"
2020,3,190.2,"11224"
2020,3,264.3,"11225"
2020,3,294.8,"11226"
2020,3,86.7,"11228"
2020,3,137.7,"11229"
2020,3,234,"11230"
2020,3,123.1,"11231"
2020,3,173.5,"11232"
2020,3,180.3,"11233"
2020,3,210.5,"11234"
2020,3,182.9,"11235"
2020,3,308.9,"11236"
2020,3,220.8,"11237"
2020,3,156.9,"11238"
2020,3,468.4,"11239"
2020,3,181.8,"11354"
2020,3,176.3,"11355"
2020,3,236.7,"11356"
2020,3,183.4,"11357"
2020,3,124.9,"11358"
2020,3,136.5,"11360"
2020,3,147.9,"11361"
2020,3,99.4,"11362"
2020,3,193,"11363"
2020,3,103.7,"11364"
2020,3,152.9,"11365"
2020,3,204.1,"11366"
2020,3,228.6,"11367"
2020,3,581.7,"11368"
2020,3,701.8,"11369"
2020,3,292.7,"11370"
2020,3,507.6,"11372"
2020,3,423.3,"11373"
2020,3,236.8,"11374"
2020,3,141.7,"11375"
2020,3,253.4,"11377"
2020,3,196.4,"11378"
2020,3,223.8,"11379"
2020,3,157.3,"11385"
2020,3,313.4,"11411"
2020,3,291.4,"11412"
2020,3,326.3,"11413"
2020,3,222.2,"11414"
2020,3,280.8,"11415"
2020,3,219.8,"11416"
2020,3,186.8,"11417"
2020,3,247.4,"11418"
2020,3,171.1,"11419"
2020,3,213.2,"11420"
2020,3,229.7,"11421"
2020,3,296.4,"11422"
2020,3,317.9,"11423"
2020,3,183.5,"11426"
2020,3,220.6,"11427"
2020,3,344.4,"11428"
2020,3,320,"11429"
2020,3,279.8,"11432"
2020,3,287.5,"11433"
2020,3,310.1,"11434"
2020,3,260.2,"11435"
2020,3,244.5,"11436"
2020,3,342.5,"11691"
2020,3,337.6,"11692"
2020,3,284.1,"11693"
2020,3,192.5,"11694"
2020,3,NA,"11697"
2020,4,436.7,"Bronx"
2020,4,300.4,"Brooklyn"
2020,4,235.5,"Manhattan"
2020,4,394.3,"Queens"
2020,4,264.2,"Staten_Island"
2020,4,334.3,"Citywide"
2020,4,184.7,"10001"
2020,4,282.8,"10002"
2020,4,105.6,"10003"
2020,4,NA,"10004"
2020,4,NA,"10005"
2020,4,NA,"10006"
2020,4,NA,"10007"
2020,4,197.7,"10009"
2020,4,131.9,"10010"
2020,4,120.6,"10011"
2020,4,60.5,"10012"
2020,4,111,"10013"
2020,4,105.5,"10014"
2020,4,104.1,"10016"
2020,4,76.9,"10017"
2020,4,42.4,"10018"
2020,4,119.5,"10019"
2020,4,126.4,"10021"
2020,4,116.5,"10022"
2020,4,110.1,"10023"
2020,4,138.7,"10024"
2020,4,220.5,"10025"
2020,4,305.2,"10026"
2020,4,283.9,"10027"
2020,4,101.3,"10028"
2020,4,441,"10029"
2020,4,280.2,"10030"
2020,4,377.8,"10031"
2020,4,486.9,"10032"
2020,4,401.6,"10033"
2020,4,336.2,"10034"
2020,4,621.5,"10035"
2020,4,194.6,"10036"
2020,4,307.8,"10037"
2020,4,140,"10038"
2020,4,323.8,"10039"
2020,4,423.1,"10040"
2020,4,248.5,"10044"
2020,4,172,"10065"
2020,4,NA,"10069"
2020,4,160.6,"10075"
2020,4,100.8,"10128"
2020,4,NA,"10280"
2020,4,NA,"10282"
2020,4,457.5,"10301"
2020,4,340.8,"10302"
2020,4,354.5,"10303"
2020,4,384.4,"10304"
2020,4,347.7,"10305"
2020,4,255.6,"10306"
2020,4,120.7,"10307"
2020,4,117.4,"10308"
2020,4,145.7,"10309"
2020,4,260.2,"10310"
2020,4,129.4,"10312"
2020,4,230.2,"10314"
2020,4,415.9,"10451"
2020,4,388.2,"10452"
2020,4,400.4,"10453"
2020,4,452,"10454"
2020,4,408.2,"10455"
2020,4,457.1,"10456"
2020,4,417.8,"10457"
2020,4,313,"10458"
2020,4,463.7,"10459"
2020,4,378.8,"10460"
2020,4,360.5,"10461"
2020,4,377.1,"10462"
2020,4,394.4,"10463"
2020,4,163.3,"10464"
2020,4,252.8,"10465"
2020,4,471.2,"10466"
2020,4,528.1,"10467"
2020,4,442.1,"10468"
2020,4,579.8,"10469"
